John,Xfnstm,283 Beacon St.,,Ygirwa,AL,46829,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,NY,15228,US,home,11,56,836,6433829,work,11,42,321,2122900,599184000000
John,Ccdzf,648 Beacon St.,,Mpwkni,AR,70800,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,OF,40137,US,home,11,39,892,7938112,work,11,12,863,8594975,441504000000
John,Mrwqcs,913 Beacon St.,,Urojdvjc,NH,31849,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,GU,39390,US,home,11,71,139,5351326,work,11,94,311,8567995,157680000000
John,Zmdwqyubqx,614 Beacon St.,,Ylrvoeca,OH,88219,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,DC,41871,US,home,11,7,973,6754672,work,11,90,326,3535571,-441504000000
John,Sxsdnk,60 Beacon St.,,Nvotwoi,IL,08569,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MP,30948,US,home,11,6,247,1809810,work,11,98,679,4425409,-630720000000
John,Wlct,614 Beacon St.,,Tumeq,CT,82500,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MT,44769,US,home,11,8,562,4736992,work,11,64,116,9034639,378432000000
John,Alermkpnq,593 Beacon St.,,Qidlmndcfy,OR,72319,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,IA,33360,US,home,11,17,562,909380,work,11,17,277,8594846,315360000000
John,Fcxokrxg,256 Beacon St.,,Jxgcbh,ID,32226,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,ND,53627,US,home,11,54,449,2192045,work,11,90,11,5228049,189216000000
John,Xvaeoaan,120 Beacon St.,,Wfjommlcx,MA,61880,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,AZ,92704,US,home,11,51,63,7582065,work,11,51,12,371853,-630720000000
John,Fzheaevsv,320 Beacon St.,,Cgryr,GU,25588,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,CT,48152,US,home,11,13,867,1213046,work,11,35,476,2721114,409968000000
