John,Uuucynatru,279 Beacon St.,,Kuajicyrn,AS,67944,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,ID,33697,US,home,11,37,809,1528712,work,11,54,250,787100,504576000000
John,Bffslwuzr,557 Beacon St.,,Tkyq,SC,07250,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,OK,59260,US,home,11,24,928,5344873,work,11,65,488,6692471,126144000000
John,Nwojdjoijy,4 Beacon St.,,Cevabp,GU,86240,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MH,01147,US,home,11,16,27,587487,work,11,25,509,8831803,31536000000
John,Fgawqt,384 Beacon St.,,Xmypnwiynz,IN,99946,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,NE,40323,US,home,11,0,783,5384101,work,11,4,118,9025031,378432000000
John,Wpzghhuueu,845 Beacon St.,,Llewzhzlgg,NJ,58484,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,LA,03840,US,home,11,39,726,754681,work,11,86,268,9260709,473040000000
John,Qbmfdh,269 Beacon St.,,Lffot,NC,11231,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,AK,47110,US,home,11,3,135,978961,work,11,88,776,8353844,-315360000000
John,Stsjjmksq,228 Beacon St.,,Ccrqyjczk,MH,48059,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MH,79767,US,home,11,84,851,147042,work,11,38,60,8901677,-63072000000
John,Prxzndztbj,786 Beacon St.,,Ltaitulct,DC,79542,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,CT,28742,US,home,11,72,13,3475436,work,11,46,717,633837,94608000000
John,Gvamz,67 Beacon St.,,Tsdsyvws,WA,33660,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MH,78577,US,home,11,79,279,3038970,work,11,71,887,856382,-63072000000
John,Wwqzzngzk,684 Beacon St.,,Wbljrszu,MP,88108,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,ME,64340,US,home,11,98,202,6328937,work,11,76,785,617117,-63072000000
John,Csxfdrcx,404 Beacon St.,,Boip,MT,27410,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,IN,31838,US,home,11,16,277,5882954,work,11,82,642,3354758,409968000000
John,Ewzlsdiim,366 Beacon St.,,Jynzwgpm,ME,11344,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MP,24540,US,home,11,70,164,5824583,work,11,26,294,438599,-567648000000
John,Ogvznx,541 Beacon St.,,Gsciqw,VI,68419,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,NY,25567,US,home,11,68,222,266437,work,11,54,831,2687820,-126144000000
John,Nznhuvrvtt,60 Beacon St.,,Limjpepaj,OK,29040,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MD,89363,US,home,11,61,295,9438652,work,11,54,100,3733780,-409968000000
John,Vqloa,371 Beacon St.,,Qekeqxoabq,NE,05965,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,FM,79814,US,home,11,16,481,3703081,work,11,32,641,4214376,-567648000000
John,Nqsilpg,65 Beacon St.,,Coqqbrsyf,FL,99444,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,KS,00168,US,home,11,17,281,5753296,work,11,72,890,6526352,94608000000
John,Unvmdwwlcv,550 Beacon St.,,Wgjijsow,MS,35261,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,DE,57265,US,home,11,66,672,3091566,work,11,31,839,6768495,-346896000000
John,Pghm,537 Beacon St.,,Mqrrh,TX,22934,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,MN,96834,US,home,11,15,88,1982552,work,11,26,470,7224196,-31536000000
John,Nkvtkn,103 Beacon St.,,Drtl,SC,60529,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,CT,11202,US,home,11,40,515,7184311,work,11,19,844,1358875,-473040000000
John,Aescntwox,428 Beacon St.,,Zyfgefpgdq,WA,63298,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,DE,73747,US,home,11,88,994,2811747,work,11,64,79,9288018,63072000000
John,Dcolzam,55 Beacon St.,,Iste,MP,97324,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,WA,79493,US,home,11,86,658,9650017,work,11,17,587,7266603,220752000000
John,Hcbui,453 Beacon St.,,Updtbzjypj,MA,33442,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,IL,45808,US,home,11,44,511,2162442,work,11,53,913,6262488,567648000000
John,Aryhokz,796 Beacon St.,,Dviswplap,WI,63837,US,Yoyodyne Propulsion Systems,330 Lectroid Rd.,Grover's Mill,TX,71532,US,home,11,81,93,2790,work,11,72,600,5261026,-441504000000
